Length,asii_value,word_count,Vowel_Count,consonants,syllable_count,underscore,hyphen,tandi,tanv,count_n,count_v,count_adj,max_length_word,min_length_word,ratito_char,label
18,1789,13,2,16,3,0,0.0,0.1111111111111111,0,0,0,3,1,1.0,4,12
7,770,4,2,5,2,0,0.0,0.2857142857142857,1,0,0,2,1,1.0,1,7
13,1357,2,6,7,5,0,0.0,0.46153846153846156,0,0,0,7,6,1.0,3,9
12,1262,2,4,8,3,0,0.0,0.3333333333333333,2,0,0,6,6,1.0,2,9
18,1952,2,6,12,7,0,0.0,0.3333333333333333,0,0,0,10,8,1.0,4,14
13,1407,4,4,9,4,0,0.0,0.3076923076923077,1,1,0,4,2,1.0,3,0
6,642,2,3,3,3,0,0.0,0.5,0,0,0,5,1,1.0,1,0
19,1999,9,5,14,4,0,0.0,0.2631578947368421,0,0,0,3,1,1.0,4,10
8,872,3,3,5,3,0,0.0,0.375,0,0,0,5,1,1.0,1,0
13,1416,4,5,8,5,0,0.0,0.38461538461538464,0,0,0,6,1,1.0,3,0
6,649,2,3,3,3,0,0.0,0.5,0,0,0,3,3,1.0,1,0
5,525,1,2,3,2,0,0.0,0.4,0,0,0,5,5,1.0,1,0
14,1527,2,5,9,6,0,0.0,0.35714285714285715,0,0,0,9,5,1.0,3,0
3,351,1,1,2,1,0,0.0,0.3333333333333333,0,0,0,3,3,1.0,1,0
8,848,2,3,5,2,0,0.0,0.375,1,0,0,4,4,1.0,1,0
7,747,2,3,4,2,0,0.0,0.42857142857142855,1,1,0,4,3,1.0,1,0
15,1620,7,6,9,5,0,0.0,0.4,1,0,1,4,1,1.0,4,2
17,1842,9,2,15,1,0,0.0,0.11764705882352941,1,0,0,3,1,1.0,4,11
13,1437,2,4,9,4,0,0.0,0.3076923076923077,0,0,0,8,5,1.0,3,8
20,2191,10,5,15,5,0,0.0,0.25,0,0,0,3,1,1.0,4,7
20,2116,3,9,11,7,0,0.0,0.45,0,0,0,10,2,1.0,4,14
27,2389,17,3,24,3,0,0.0,0.1111111111111111,0,0,0,4,1,1.0,4,3
30,3221,6,12,18,12,0,0.0,0.4,6,6,0,7,3,1.0,4,5
18,1927,3,6,12,5,0,0.0,0.3333333333333333,0,0,0,8,3,1.0,4,14
18,1933,9,3,15,3,0,0.0,0.16666666666666666,0,0,0,3,1,1.0,4,10
15,1669,8,3,12,2,0,0.0,0.2,0,0,0,3,1,1.0,4,6
9,979,3,4,5,3,0,0.0,0.4444444444444444,0,0,0,5,1,1.0,2,0
15,1667,6,3,12,3,0,0.0,0.2,0,0,0,3,1,1.0,4,2
30,3174,5,10,20,8,0,0.0,0.3333333333333333,5,5,1,9,4,1.0,4,5
11,1236,2,4,7,4,0,0.0,0.36363636363636365,1,1,0,6,5,1.0,2,0
25,2197,19,4,21,4,0,0.0,0.16,0,0,0,2,1,1.0,4,3
13,1432,2,3,10,4,0,0.0,0.23076923076923078,0,0,0,7,6,1.0,3,8
11,1149,3,3,8,3,0,0.0,0.2727272727272727,1,0,0,7,1,1.0,2,0
4,461,2,1,3,1,0,0.0,0.25,0,0,0,3,1,1.0,1,0
14,1494,2,5,9,4,0,0.0,0.35714285714285715,0,0,0,8,6,1.0,3,9
7,733,2,2,5,2,0,0.0,0.2857142857142857,0,0,0,4,3,1.0,1,0
16,1713,9,2,14,2,0,0.0,0.125,1,0,0,4,1,1.0,4,1
14,1540,7,1,13,2,0,0.0,0.07142857142857142,0,0,0,3,1,1.0,3,6
4,420,1,2,2,2,0,0.0,0.5,0,0,0,4,4,1.0,1,0
12,1256,6,2,10,2,0,0.0,0.16666666666666666,1,1,0,3,1,1.0,2,15
16,1800,7,4,12,3,0,0.0,0.25,0,0,0,4,1,1.0,4,1
26,2805,4,11,15,8,0,0.0,0.4230769230769231,3,3,0,7,5,1.0,4,5
