,Domain,Length,asii_value,word_count,Vowel_Count,consonants,syllable_count,underscore,hyphen,tandi,tanv,count_n,count_v,count_adj,max_length_word,min_length_word,ratito_char,label
52,odmudhamnvioqcsy.eu,16,1739,7,5,11,5,0,0,0.0,0.3125,1,0,0,3,1,1.0,3
53,okfqoumqxwjqjuay.eu,16,1782,10,5,11,3,0,0,0.0,0.3125,0,0,0,2,1,1.0,3
54,orxymimivlxscnul.eu,16,1789,7,4,12,5,0,0,0.0,0.25,0,0,0,4,1,1.0,3
55,ipajpheumymwwhlg.eu,16,1746,8,4,12,4,0,0,0.0,0.25,0,0,0,4,1,1.0,3
56,iwsrnuqywabmdngg.eu,16,1753,9,3,13,4,0,0,0.0,0.1875,0,0,0,3,1,1.0,3
57,ieynyiqquocovsns.eu,16,1785,7,6,10,4,0,0,0.0,0.375,0,0,0,3,1,1.0,3
58,ilrjkjqisdqqolis.eu,16,1744,9,4,12,4,0,0,0.0,0.25,0,0,0,2,1,1.0,3
59,iskfvwdaqrrsheds.eu,16,1739,7,3,13,3,0,0,0.0,0.1875,0,0,0,5,1,1.0,3
60,iaqbhxdrbgginwkf.eu,16,1698,10,3,13,2,0,0,0.0,0.1875,1,0,0,2,1,1.0,3
61,ihjwfldjyhhkgpff.eu,16,1705,10,1,15,2,0,0,0.0,0.0625,0,0,0,2,1,1.0,3
62,iocsqypnjvimyumr.eu,16,1785,8,4,12,4,0,0,0.0,0.25,0,0,0,4,1,1.0,3
63,ivubcadshkwornhr.eu,16,1732,6,4,12,4,0,0,0.0,0.25,0,0,0,4,2,1.0,3
64,ctwxelhrxklsmuxy.eu,16,1798,8,2,14,3,0,0,0.0,0.125,0,0,0,3,1,1.0,3
65,cbdhdmhjvymufnsy.eu,16,1733,8,1,15,3,0,0,0.0,0.0625,0,0,0,3,1,1.0,3
66,civpbahbtnbklgny.eu,16,1704,7,2,14,3,0,0,0.0,0.125,0,0,0,3,1,1.0,3
67,cpolmntfecpmeyul.eu,16,1735,7,4,12,3,0,0,0.0,0.25,0,0,0,3,1,1.0,3
68,cwhhxbtwodqowepl.eu,16,1754,8,3,13,3,0,0,0.0,0.1875,1,0,0,3,1,1.0,3
69,cendjctomrrqpwwx.eu,16,1762,8,2,14,2,0,0,0.0,0.125,1,1,0,3,1,1.0,3
70,clgyhpggkgggvprx.eu,16,1733,9,0,16,1,0,0,0.0,0.0,0,0,0,3,1,1.0,3
71,csyhsdgxuhhioimx.eu,16,1752,9,4,12,3,0,0,0.0,0.25,0,0,0,3,1,1.0,3
72,cafqeegpsvikhbhx.eu,16,1699,7,4,12,3,0,0,0.0,0.25,0,0,0,3,1,1.0,3
73,vktatpkojjkocixf.eu,16,1740,8,4,12,4,0,0,0.0,0.25,0,0,0,3,1,1.0,3
74,vrmvrdkghxlqunff.eu,16,1759,9,1,15,1,0,0,0.0,0.0625,0,0,0,2,1,1.0,3
75,vyfrdekxrymsngaf.eu,16,1754,7,2,14,4,0,0,0.0,0.125,0,0,0,3,1,1.0,3
76,vglnorwcpnbityhr.eu,16,1762,8,2,14,3,0,0,0.0,0.125,1,1,0,3,1,1.0,3
77,vnejaswtacpkmrcr.eu,16,1733,9,3,13,3,0,0,0.0,0.1875,0,0,0,3,1,1.0,3
