,Domain,Length,asii_value,word_count,Vowel_Count,consonants,syllable_count,underscore,hyphen,tandi,tanv,count_n,count_v,count_adj,max_length_word,min_length_word,ratito_char,label
538,tcsylhmavvhvyvvh.su,16,1788,7,1,15,3,0,0,0.0,0.0625,0,0,0,3,2,1.0,9
539,rpsrtvbrpfjijmaslqog.ru,20,2188,9,3,17,3,0,0,0.0,0.15,0,0,0,3,1,1.0,9
540,qwnbkbbpwrw.sh,11,1207,7,0,11,0,0,0,0.0,0.0,0,0,0,2,1,1.0,9
541,okinrhlpdnwth.jp,13,1420,7,2,11,2,0,0,0.0,0.15384615384615385,0,0,0,2,1,1.0,9
542,jadijsicjmrajknmt.sc,17,1807,8,4,13,4,0,0,0.0,0.23529411764705882,1,0,0,3,1,1.0,9
543,ypcxpctogxilwsfbdjsku.kz,21,2305,11,3,18,4,0,0,0.0,0.14285714285714285,0,0,0,3,1,1.0,9
544,aupytptnoyvkispohkema.net,21,2319,12,7,14,7,0,0,0.0,0.3333333333333333,1,0,0,3,1,1.0,9
545,qspaycvqnre.to,11,1213,6,2,9,1,0,0,0.0,0.18181818181818182,1,1,0,3,1,1.0,9
546,pemewwemmkastpuax.pw,17,1861,9,6,11,5,0,0,0.0,0.35294117647058826,1,0,0,3,1,1.0,9
547,vwelycrkelyyldhjlmcgg.org,21,2278,10,2,19,4,0,0,0.0,0.09523809523809523,0,0,0,3,1,1.0,9
548,vajjaichjkvuyv.tw,14,1519,8,4,10,3,0,0,0.0,0.2857142857142857,1,0,0,3,1,1.0,9
549,epfwmrhrakbjdrdmbnc.sx,19,2013,9,2,17,2,0,0,0.0,0.10526315789473684,0,0,0,3,1,1.0,9
550,itdfqbcjmgmbmmn.sh,15,1586,7,1,14,1,0,0,0.0,0.06666666666666667,1,0,0,3,2,1.0,9
551,txwepcttuxagunjvtgbsx.nu,21,2339,10,4,17,4,0,0,0.0,0.19047619047619047,1,0,0,3,1,1.0,9
552,hkhwsxnqikevt.cc,13,1439,7,2,11,2,0,0,0.0,0.15384615384615385,0,0,0,4,1,1.0,9
553,yrasauqwbtdde.net,13,1408,7,4,9,3,0,0,0.0,0.3076923076923077,0,0,0,2,1,1.0,9
554,rdnjqcwcgxbug.sc,13,1401,6,1,12,1,0,0,0.0,0.07692307692307693,1,1,0,3,1,1.0,9
555,mjodnalhlhhgqsvfl.nf,17,1820,7,2,15,2,0,0,0.0,0.11764705882352941,0,0,0,4,2,1.0,9
556,shnafgv.cm,7,749,4,1,6,1,0,0,0.0,0.14285714285714285,0,0,0,3,1,1.0,9
557,uuxbogfyim.ms,10,1103,5,4,6,3,0,0,0.0,0.4,0,0,0,3,1,1.0,9
558,samwvmokmrkhgvevtgo.eu,19,2089,9,4,15,4,0,0,0.0,0.21052631578947367,1,1,1,3,1,1.0,9
559,pkbxppcr.eu,8,874,4,0,8,0,0,0,0.0,0.0,0,0,0,3,1,1.0,9
560,emgtbwonfcloy.bz,13,1408,6,3,10,3,0,0,0.0,0.23076923076923078,0,0,0,4,1,1.0,9
561,kvirpepoxmxcrauqsx.mu,18,2004,8,5,13,4,0,0,0.0,0.2777777777777778,0,0,0,4,1,1.0,9
