,Domain,Length,asii_value,word_count,Vowel_Count,consonants,syllable_count,underscore,hyphen,tandi,tanv,count_n,count_v,count_adj,max_length_word,min_length_word,ratito_char,label
47,n3ilc8sxdklklpbxjf.cn,18,1832,12,1,17,1,0,0,0.0,0.05555555555555555,0,0,0,2,1,1.0,13
48,r5sjxbc6hda1tr2tvf.biz,18,1725,13,1,17,1,0,0,0.0,0.05555555555555555,1,0,0,2,1,1.0,13
49,clrfmrkadx13ivgyd6.ru,18,1771,10,2,16,3,0,0,0.0,0.1111111111111111,0,0,0,3,1,1.0,13
50,wimid2yngsn4it7xms.com,18,1819,10,3,15,4,0,0,0.0,0.16666666666666666,1,0,0,3,1,1.0,13
51,dagqmx1yel56l6k83c.biz,18,1603,11,2,16,2,0,0,0.0,0.1111111111111111,0,0,0,3,1,1.0,13
52,ik584yc5cnebsdaesd.cn,18,1682,10,4,14,4,0,0,0.0,0.2222222222222222,0,0,0,3,1,1.0,13
53,xm7kp3hla1pjr65lot.ru,18,1686,11,2,16,2,0,0,0.0,0.1111111111111111,1,0,0,3,1,1.0,13
54,mwr8e2nean2uqyfd2o.biz,18,1731,14,5,13,5,0,0,0.0,0.2777777777777778,0,0,0,2,1,1.0,13
55,fdqlo6wxwi8lws5rvo.com,18,1845,13,3,15,3,0,0,0.0,0.16666666666666666,0,0,0,2,1,1.0,13
56,rhrte2o35m68mht363.com,18,1518,10,2,16,2,0,0,0.0,0.1111111111111111,0,0,0,3,1,1.0,13
57,iyi8lg4ojab3ukmwvj.com,18,1789,11,5,13,4,0,0,0.0,0.2777777777777778,0,0,0,3,1,1.0,13
58,csj3le3fdgsll5jqr4.biz,18,1705,12,1,17,1,0,0,0.0,0.05555555555555555,0,0,0,3,1,1.0,13
59,3yffdxde8btbg6mj4n.ru,18,1699,12,1,17,2,0,0,0.0,0.05555555555555555,0,0,0,3,1,1.0,13
60,1wpejdqhinz5gbkd8q.com,18,1771,13,2,16,2,0,0,0.0,0.1111111111111111,0,0,0,2,1,1.0,13
61,mgukinxxccaopjc7nn.biz,18,1889,9,4,14,3,0,0,0.0,0.2222222222222222,0,0,0,3,1,1.0,13
62,squtuu33d3johwzlkx.ru,18,1845,12,4,14,3,0,0,0.0,0.2222222222222222,0,0,0,3,1,1.0,13
63,6lhbo2jae742g4ubpd.ru,18,1568,10,4,14,3,0,0,0.0,0.2222222222222222,0,0,0,3,1,1.0,13
64,gub3tkfgzctcg7hnl3.ru,18,1764,11,1,17,1,0,0,0.0,0.05555555555555555,0,0,0,3,1,1.0,13
65,utdrgnjmq52fiurduo.biz,18,1857,9,5,13,3,0,0,0.0,0.2777777777777778,0,0,0,4,1,1.0,13
66,f51be5mjwqdhk654uq.com,18,1603,11,2,16,2,0,0,0.0,0.1111111111111111,0,0,0,3,1,1.0,13
67,iuenxtczqpc8g5moe6.net,18,1801,11,5,13,2,0,0,0.0,0.2777777777777778,0,0,0,3,1,1.0,13
68,8b7asdeh1u2nku73d7.ru,18,1537,13,4,14,4,0,0,0.0,0.2222222222222222,0,0,0,3,1,1.0,13
69,ahtmffgnihnir8xjtc.biz,18,1878,9,3,15,3,0,0,0.0,0.16666666666666666,1,0,0,3,1,1.0,13
70,h8nuu6rhtomwtibo3q.cn,18,1825,12,5,13,4,0,0,0.0,0.2777777777777778,0,0,0,2,1,1.0,13
71,vj1j2jjv1h237lkxvc.net,18,1620,12,0,18,0,0,0,0.0,0.0,0,0,0,3,1,1.0,13
72,xp7eam7krus35snogh.ru,18,1749,11,4,14,3,0,0,0.0,0.2222222222222222,0,0,0,3,1,1.0,13
73,os15nakam57ugneiep.cn,18,1705,8,7,11,5,0,0,0.0,0.3888888888888889,0,0,0,4,1,1.0,13
74,kinwyn8u1za7f1tm6z.cn,18,1720,13,3,15,4,0,0,0.0,0.16666666666666666,0,0,0,3,1,1.0,13
75,ocwwa6toqm5q6alrlt.com,18,1811,11,4,14,4,0,0,0.0,0.2222222222222222,1,0,0,3,1,1.0,13
76,j16hnbp5t7v2zqd8j2.biz,18,1572,14,0,18,0,0,0,0.0,0.0,0,0,0,2,1,1.0,13
77,izlp71bqr1oz1rzii3.ru,18,1704,11,4,14,3,0,0,0.0,0.2222222222222222,0,0,0,2,1,1.0,13
78,h2a2c7qsettpqb82iy.net,18,1671,12,3,15,3,0,0,0.0,0.16666666666666666,2,1,1,3,1,1.0,13
79,mywulfxteczyzu5sxs.cn,18,1997,9,3,15,5,0,0,0.0,0.16666666666666666,0,0,0,4,1,1.0,13
80,7n5ngio8fqxweog6lp.net,18,1746,12,4,14,2,0,0,0.0,0.2222222222222222,0,0,0,2,1,1.0,13
81,vn3pi1djgc8121yfg6.com,18,1537,11,1,17,2,0,0,0.0,0.05555555555555555,0,0,0,4,1,1.0,13
82,mdpi2fy1pcuoefgkiz.net,18,1827,11,5,13,4,0,0,0.0,0.2777777777777778,0,0,0,3,1,1.0,13
83,yosly88oppiix4qr7x.net,18,1807,10,4,14,4,0,0,0.0,0.2222222222222222,0,0,0,3,1,1.0,13
84,zzdzy16zw21fk75781.ru,18,1507,8,0,18,1,0,0,0.0,0.0,0,0,0,5,1,1.0,13
85,tn3jivucqt88ysok2d.com,18,1767,11,3,15,4,0,0,0.0,0.16666666666666666,0,0,0,2,1,1.0,13
86,5qors3q1xjethvfuam.com,18,1809,12,4,14,3,0,0,0.0,0.2222222222222222,0,0,0,3,1,1.0,13
87,k3k1uqxrhk43aok323.ru,18,1559,12,3,15,2,0,0,0.0,0.16666666666666666,1,0,0,3,1,1.0,13
88,ar3qpjrndmldhyjo7i.ru,18,1836,10,3,15,4,0,0,0.0,0.16666666666666666,0,0,0,3,1,1.0,13
89,kbvee8puqgmivrpp3r.ru,18,1861,10,4,14,3,0,0,0.0,0.2222222222222222,0,0,0,3,1,1.0,13
90,k7nvhbawf5nthvxx7d.ru,18,1806,12,1,17,1,0,0,0.0,0.05555555555555555,0,0,0,3,1,1.0,13
91,awn2kejn8tnuguqxsj.cn,18,1873,11,4,14,4,0,0,0.0,0.2222222222222222,0,0,0,2,1,1.0,13
92,t43olq8tbeka1vdkh2.com,18,1654,12,3,15,3,0,0,0.0,0.16666666666666666,0,0,0,2,1,1.0,13
93,irnk3485kmiyi6tfcd.com,18,1666,9,3,15,2,0,0,0.0,0.16666666666666666,0,0,0,4,1,1.0,13
94,decrqmi13z2aybxqfp.com,18,1776,12,3,15,3,0,0,0.0,0.16666666666666666,1,0,0,2,1,1.0,13
95,dh6wzm5une1jhje11y.cn,18,1674,12,3,15,4,0,0,0.0,0.16666666666666666,0,0,0,3,1,1.0,13
96,3e835dmsb8g1ofr8wb.biz,18,1542,12,2,16,2,0,0,0.0,0.1111111111111111,0,0,0,3,1,1.0,13
97,amrmbdtj54stkidaew.net,18,1814,9,4,14,3,0,0,0.0,0.2222222222222222,2,1,1,3,1,1.0,13
98,4h3yza4y8cpnnj2hcc.net,18,1665,14,1,17,3,0,0,0.0,0.05555555555555555,1,0,0,2,1,1.0,13
99,utme1omqy6qj45j7dd.ru,18,1685,13,3,15,4,0,0,0.0,0.16666666666666666,0,0,0,2,1,1.0,13
100,3bvpv4i1w333ljyjz8.cn,18,1594,13,1,17,2,0,0,0.0,0.05555555555555555,0,0,0,3,1,1.0,13
101,bvhgq5xfxze1emgowa.cn,18,1843,11,4,14,4,0,0,0.0,0.2222222222222222,1,1,1,2,1,1.0,13
102,lqrimcrraub8uan4ry.ru,18,1855,11,5,13,4,0,0,0.0,0.2777777777777778,0,0,0,3,1,1.0,13
103,aur28hxjdq5tmpanh2.net,18,1728,9,3,15,2,0,0,0.0,0.16666666666666666,0,0,0,4,1,1.0,13
104,w8m7wxkushbahjzz7w.net,18,1844,12,2,16,2,0,0,0.0,0.1111111111111111,0,0,0,4,1,1.0,13
105,po5dld2rgrqh5tthtb.com,18,1785,12,1,17,1,0,0,0.0,0.05555555555555555,0,0,0,2,1,1.0,13
106,edlzlydqyuhs84hn3t.biz,18,1819,10,2,16,3,0,0,0.0,0.1111111111111111,0,0,0,3,1,1.0,13
107,4mqrwg48lkr6qk3dwo.net,18,1702,13,1,17,1,0,0,0.0,0.05555555555555555,0,0,0,2,1,1.0,13
108,rkrt25zy1wu4a6qzmk.cn,18,1736,12,2,16,3,0,0,0.0,0.1111111111111111,1,0,0,2,1,1.0,13
109,xi7b25kamztzpecleg.biz,18,1778,9,4,14,4,0,0,0.0,0.2222222222222222,1,1,0,3,1,1.0,13
110,ttxdfc4lhyt52v8lrn.ru,18,1763,12,0,18,1,0,0,0.0,0.0,0,0,0,2,1,1.0,13
111,st531imh6ai5vyvquw.ru,18,1717,10,4,14,4,0,0,0.0,0.2222222222222222,1,0,0,3,1,1.0,13
112,ejule4hg6oj63wxx1h.net,18,1680,11,4,14,4,0,0,0.0,0.2222222222222222,0,0,0,3,1,1.0,13
113,xa6h7d8cxgx7vmrivi.net,18,1752,12,3,15,3,0,0,0.0,0.16666666666666666,1,0,0,4,1,1.0,13
