Length,asii_value,word_count,Vowel_Count,consonants,syllable_count,underscore,hyphen,countdi,tandi,tanv,count_n,count_v,count_adj,max_length_word,min_length_word,ratito_char,word_dga,ratio_dga,label,type
26,2809,8,9,17,8,0,0,0.0,0.34615384615384615,1,0,1,8,1,0.0,4,2,0.25,1,banjori
18,1966,6,7,11,7,0,0,0.0,0.3888888888888889,1,0,0,6,1,0.0,4,1,0.16666666666666666,1,banjori
26,2801,8,9,17,8,0,0,0.0,0.34615384615384615,1,0,1,8,1,0.0,4,1,0.125,1,banjori
26,2825,9,8,18,8,0,0,0.0,0.3076923076923077,1,0,1,8,1,0.0,4,1,0.1111111111111111,1,banjori
26,2827,8,10,16,9,0,0,0.0,0.38461538461538464,1,0,1,8,1,0.0,4,1,0.125,1,banjori
26,2802,8,11,15,8,0,0,0.0,0.4230769230769231,1,0,1,8,1,0.0,4,1,0.125,1,banjori
26,2838,8,8,18,8,0,0,0.0,0.3076923076923077,1,0,1,8,1,0.0,4,1,0.125,1,banjori
26,2772,7,10,16,9,0,0,0.0,0.38461538461538464,1,0,1,8,1,0.0,4,2,0.2857142857142857,1,banjori
26,2839,8,8,18,8,0,0,0.0,0.3076923076923077,1,0,1,8,1,0.0,4,2,0.25,1,banjori
26,2819,8,8,18,8,0,0,0.0,0.3076923076923077,1,0,1,8,1,0.0,4,2,0.25,1,banjori
26,2811,8,8,18,8,0,0,0.0,0.3076923076923077,1,0,1,8,1,0.0,4,1,0.125,1,banjori
26,2831,8,8,18,8,0,0,0.0,0.3076923076923077,2,1,1,8,1,0.0,4,2,0.25,1,banjori
26,2788,7,9,17,9,0,0,0.0,0.34615384615384615,1,0,1,8,1,0.0,4,2,0.2857142857142857,1,banjori
26,2804,9,9,17,9,0,0,0.0,0.34615384615384615,1,0,1,8,1,0.0,4,1,0.1111111111111111,1,banjori
18,1939,6,5,13,5,0,0,0.0,0.2777777777777778,1,0,0,6,1,0.0,4,1,0.16666666666666666,1,banjori
26,2812,8,8,18,8,0,0,0.0,0.3076923076923077,1,0,1,8,1,0.0,4,2,0.25,1,banjori
26,2798,8,10,16,9,0,0,0.0,0.38461538461538464,1,0,1,8,1,0.0,4,1,0.125,1,banjori
26,2824,8,10,16,9,0,0,0.0,0.38461538461538464,2,1,1,8,1,0.0,4,2,0.25,1,banjori
26,2822,8,9,17,9,0,0,0.0,0.34615384615384615,2,0,2,8,1,0.0,4,2,0.25,1,banjori
18,1969,6,5,13,5,0,0,0.0,0.2777777777777778,1,0,0,6,1,0.0,4,1,0.16666666666666666,1,banjori
26,2833,8,9,17,9,0,0,0.0,0.34615384615384615,1,0,1,8,1,0.0,4,1,0.125,1,banjori
26,2829,8,10,16,9,0,0,0.0,0.38461538461538464,2,0,2,8,1,0.0,4,2,0.25,1,banjori
26,2808,8,8,18,8,0,0,0.0,0.3076923076923077,1,0,1,8,1,0.0,4,1,0.125,1,banjori
18,1958,6,6,12,6,0,0,0.0,0.3333333333333333,1,0,0,6,1,0.0,4,1,0.16666666666666666,1,banjori
18,1947,6,6,12,6,0,0,0.0,0.3333333333333333,1,0,0,6,1,0.0,4,1,0.16666666666666666,1,banjori
26,2830,8,9,17,9,0,0,0.0,0.34615384615384615,2,0,2,8,1,0.0,4,2,0.25,1,banjori
18,1962,6,5,13,5,0,0,0.0,0.2777777777777778,1,0,0,6,1,0.0,4,1,0.16666666666666666,1,banjori
26,2821,8,10,16,9,0,0,0.0,0.38461538461538464,1,0,1,8,1,0.0,4,1,0.125,1,banjori
26,2803,9,8,18,8,0,0,0.0,0.3076923076923077,1,0,1,8,1,0.0,4,1,0.1111111111111111,1,banjori
18,1963,7,5,13,5,0,0,0.0,0.2777777777777778,1,0,0,6,1,0.0,4,1,0.14285714285714285,1,banjori
26,2824,8,8,18,8,0,0,0.0,0.3076923076923077,1,0,1,8,1,0.0,4,2,0.25,1,banjori
26,2810,8,10,16,8,0,0,0.0,0.38461538461538464,1,0,1,8,1,0.0,4,2,0.25,1,banjori
26,2818,8,8,18,8,0,0,0.0,0.3076923076923077,1,0,1,8,1,0.0,4,1,0.125,1,banjori
26,2825,7,8,18,8,0,0,0.0,0.3076923076923077,2,1,1,8,1,0.0,4,2,0.2857142857142857,1,banjori
26,2802,8,10,16,9,0,0,0.0,0.38461538461538464,1,0,1,8,1,0.0,4,1,0.125,1,banjori
26,2812,8,10,16,8,0,0,0.0,0.38461538461538464,1,0,1,8,1,0.0,4,2,0.25,1,banjori
18,1981,6,5,13,5,0,0,0.0,0.2777777777777778,1,0,0,6,1,0.0,4,1,0.16666666666666666,1,banjori
26,2844,7,9,17,9,0,0,0.0,0.34615384615384615,2,1,1,8,1,0.0,4,2,0.2857142857142857,1,banjori
26,2846,8,8,18,8,0,0,0.0,0.3076923076923077,1,0,1,8,1,0.0,4,1,0.125,1,banjori
26,2799,8,8,18,8,0,0,0.0,0.3076923076923077,1,0,1,8,1,0.0,4,2,0.25,1,banjori
18,1959,6,6,12,6,0,0,0.0,0.3333333333333333,1,0,0,6,1,0.0,4,1,0.16666666666666666,1,banjori
26,2806,7,10,16,8,0,0,0.0,0.38461538461538464,1,0,1,8,1,0.0,4,2,0.2857142857142857,1,banjori
26,2830,7,8,18,8,0,0,0.0,0.3076923076923077,1,0,1,8,1,0.0,4,1,0.14285714285714285,1,banjori
26,2788,8,8,18,8,0,0,0.0,0.3076923076923077,1,0,1,8,1,0.0,4,2,0.25,1,banjori
26,2841,8,8,18,8,0,0,0.0,0.3076923076923077,1,0,1,8,1,0.0,4,2,0.25,1,banjori
18,1949,6,7,11,7,0,0,0.0,0.3888888888888889,1,0,0,6,1,0.0,4,1,0.16666666666666666,1,banjori
26,2830,8,8,18,8,0,0,0.0,0.3076923076923077,2,1,1,8,1,0.0,4,2,0.25,1,banjori
26,2807,9,9,17,8,0,0,0.0,0.34615384615384615,1,0,1,8,1,0.0,4,1,0.1111111111111111,1,banjori
26,2820,9,8,18,9,0,0,0.0,0.3076923076923077,1,0,1,8,1,0.0,4,1,0.1111111111111111,1,banjori
26,2823,9,8,18,8,0,0,0.0,0.3076923076923077,1,0,1,8,1,0.0,4,1,0.1111111111111111,1,banjori
26,2826,9,8,18,8,0,0,0.0,0.3076923076923077,1,0,1,8,1,0.0,4,2,0.2222222222222222,1,banjori
26,2829,8,8,18,9,0,0,0.0,0.3076923076923077,1,0,1,8,1,0.0,4,1,0.125,1,banjori
26,2838,8,10,16,8,0,0,0.0,0.38461538461538464,1,0,1,8,1,0.0,4,2,0.25,1,banjori
